appname,appid,metadata_category,metadata_severity,metadata_comment,metadata_reference,service
Newsletter Software Supermailer,a245e8c0-b53c-4b67-9b45-751d1dff8e6b,risky,high,Software for mass email distribution,https://github.com/mthcht/awesome-lists/blob/main/Lists/microsoft_apps_list.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Office 365 [Community Contributed],72782ba9-4490-4f03-8d82-562370ea3566,risky,low,legit app - used by EvilProxy,https://github.com/mthcht/awesome-lists/blob/main/Lists/microsoft_apps_list.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,risky,info,legit app - also used by Threat Actors,https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
OfficeHome,4765445b-32c6-49b0-83e6-1d93765276ca,risky,info,legit app - Observed used by Threat actors in multiple BEC cases,https://github.com/mthcht/awesome-lists/blob/main/Lists/microsoft_apps_list.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Outlook Lite,e9b154d0-7658-433b-bb25-6b8e0a8a7c59,risky,low,Legitimate Outlook Lite client; ByteIntoCyber marks as mailbox exfiltration risk if used by an attacker. Keep in risky legitimate for hunting only.,https://byteintocyber.com/microsoft-365-application-ids-bec-investigation-resources/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Outlook Mobile,27922004-5251-4030-b22d-91ecd9a37ea4,risky,low,Legitimate Outlook Mobile client; ByteIntoCyber marks as mailbox exfiltration risk if used by an attacker. Keep in risky legitimate for hunting only.,https://byteintocyber.com/microsoft-365-application-ids-bec-investigation-resources/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
PostBox,179d5108-412b-4c95-8e34-06786784ab39,risky,critical,,https://github.com/randomaccess3/detections/blob/main/M365_Oauth_Apps/MaliciousOauthAppDetections.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
rclone,4761b959-9780-4c2d-87a3-512b4638f767,risky,critical,Command-line tool for cloning files across cloud storage services,https://github.com/mthcht/awesome-lists/blob/main/Lists/microsoft_apps_list.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
rclone,b15665d9-eda6-4092-8539-0eec376afd59,risky,medium,"Rclone public OneDrive OAuth client ID; Huntress RogueApps documents abuse for OneDrive/SharePoint file download and exfiltration. Keep as risky legitimate, not malicious.",https://github.com/rclone/rclone/blob/master/backend/onedrive/onedrive.go | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
SigParser,caffae8c-0882-4c81-9a27-d1803af53a40,risky,high,SigParser scans emails - calendars - address books - spreadsheets and more to automatically generate profiles on the people and companies who have interacted with your business,https://github.com/randomaccess3/detections/blob/main/M365_Oauth_Apps/MaliciousOauthAppDetections.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Spike,946c777c-bc85-489e-b034-392389ae23d6,risky,critical,,https://github.com/randomaccess3/detections/blob/main/M365_Oauth_Apps/MaliciousOauthAppDetections.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
ZoomInfo Communitiez Login,497ac034-5120-4c1a-929a-0351f5c09918,risky,critical,Zoominfo Login,https://github.com/randomaccess3/detections/blob/main/M365_Oauth_Apps/MaliciousOauthAppDetections.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Zoominfo Login,858d7e42-35f0-44b7-9033-df309239a47f,risky,high,Zoominfo Login,https://github.com/randomaccess3/detections/blob/main/M365_Oauth_Apps/MaliciousOauthAppDetections.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
